ID_CLIENTE;FORMA_AQUISICAO;IDADE_CLIENTE;SEXO;QT_FILHOS;DT_AQUISICAO;DIAS_ATIVO;MESES_ATIVO;DURACAO_CONTRATO;VL_PLANO_ADESAO;VL_PLANO_ATUAL;NOME_PRODUTO;QT_PONTOS_INSTALADOS;QT_PC_PAGAS;QT_PC_VENCIDAS;QT_PC_PAGA_ATRASO;QT_PC_PAGA_EM_DIA;QT_ACORDO_PAGAMENTO;VL_MENSALIDADE_ATRASO;VL_MENSALIDADE_DT_AQUISICAO;VL_MENSALIDADE_DT_ATUAL
1;Site;23;MASCULINO;0;18/06/2021;33;1;48 Meses;450;518;PLANO FAMILIA (100 CANAIS HD);1;1;4;0;1;1;2070;450;518
2;Vendedor;24;FEMININO;0;10/04/2018;1198;39;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);2;5;0;1;4;0;0;230;265
3;Site;25;MASCULINO;0;09/10/2020;285;9;48 Meses;290;334;PLANO BASICO PLUS (50 CANAIS HD);3;5;0;3;2;0;0;290;334
4;Vendedor;26;FEMININO;17;25/06/2019;757;25;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);1;5;0;1;4;0;0;230;265
5;Vendedor;27;MASCULINO;0;19/09/2019;671;22;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);2;5;0;5;0;0;0;230;265
6;Vendedor;28;FEMININO;1;23/03/2018;1216;40;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);3;5;0;0;5;0;0;230;265
7;Vendedor;29;MASCULINO;2;04/02/2019;898;29;48 Meses;350;403;PLANO MEDIO A (60 CANAIS HD);1;1;0;0;1;0;0;350;403
8;Site;30;FEMININO;1;11/11/2020;252;8;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);2;5;0;2;3;1;0;230;265
9;Vendedor;31;MASCULINO;2;31/07/2018;1086;36;48 Meses;290;334;PLANO BASICO PLUS (50 CANAIS HD);3;4;0;2;2;0;0;290;334
10;Site;32;FEMININO;1;03/05/2021;79;2;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);1;2;3;1;1;1;794;230;265
11;Site;33;MASCULINO;2;16/06/2021;35;1;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);2;1;5;0;1;1;1323;230;265
12;Site;34;FEMININO;1;26/03/2021;117;4;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);3;4;1;0;4;1;265;230;265
13;Site;35;MASCULINO;2;20/02/2021;151;5;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);1;4;2;4;0;0;529;230;265
14;Site;36;FEMININO;1;18/12/2020;215;7;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);2;3;0;2;1;0;0;230;265
15;Site;37;MASCULINO;2;18/12/2020;215;7;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);3;3;0;2;1;0;0;230;265
16;Site;38;FEMININO;1;13/11/2020;250;8;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);1;6;0;0;6;1;0;230;265
17;Vendedor;39;MASCULINO;2;07/02/2019;895;29;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);2;4;0;3;1;1;0;230;265
18;Vendedor;40;FEMININO;1;04/02/2019;898;29;48 Meses;350;403;PLANO MEDIO A (60 CANAIS HD);3;1;0;0;1;0;0;350;403
19;Site;41;MASCULINO;2;17/05/2021;65;2;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);1;2;4;1;1;0;1058;230;265
20;Vendedor;42;FEMININO;1;17/04/2020;460;15;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);2;3;0;1;2;0;0;230;265
21;Site;43;MASCULINO;2;05/11/2020;258;8;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);3;2;0;0;2;1;0;230;265
22;Vendedor;44;FEMININO;1;19/06/2019;763;25;48 Meses;290;334;PLANO BASICO PLUS (50 CANAIS HD);1;6;0;2;4;0;0;290;334
23;Vendedor;45;MASCULINO;2;26/10/2018;999;33;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);2;5;0;3;2;0;0;230;265
24;Vendedor;46;FEMININO;1;02/05/2018;1176;38;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);3;5;0;0;5;0;0;230;265
25;Vendedor;47;MASCULINO;2;18/12/2018;946;31;48 Meses;350;403;PLANO MEDIO A (60 CANAIS HD);1;3;0;2;1;0;0;350;403
26;Vendedor;48;FEMININO;1;14/01/2020;554;18;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);2;6;0;0;6;0;0;230;265
27;Vendedor;49;MASCULINO;2;13/04/2018;1195;39;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);3;6;0;0;6;0;0;230;265
28;Site;50;FEMININO;1;13/05/2021;69;2;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);1;1;4;0;1;1;1058;230;265
29;Vendedor;51;MASCULINO;2;05/02/2019;897;29;48 Meses;350;403;PLANO MEDIO A (60 CANAIS HD);2;5;0;2;3;0;0;350;403
30;Vendedor;52;FEMININO;1;13/11/2018;981;32;48 Meses;350;403;PLANO MEDIO A (60 CANAIS HD);3;3;0;1;2;0;0;350;403
31;Site;53;MASCULINO;2;17/09/2020;307;10;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);1;6;0;2;4;1;0;230;265
32;Vendedor;54;FEMININO;1;24/08/2018;1062;35;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);2;4;0;3;1;1;0;230;265
33;Vendedor;55;MASCULINO;2;15/05/2019;798;26;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);3;4;0;4;0;1;0;230;265
34;Vendedor;23;FEMININO;1;11/04/2018;1197;39;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);1;5;0;1;4;0;0;230;265
35;Vendedor;24;MASCULINO;2;28/05/2020;419;14;48 Meses;350;403;PLANO MEDIO A (60 CANAIS HD);2;4;0;2;2;1;0;350;403
36;Site;25;FEMININO;1;19/08/2020;336;11;48 Meses;290;334;PLANO BASICO PLUS (50 CANAIS HD);3;5;0;5;0;1;0;290;334
37;Vendedor;26;MASCULINO;2;14/03/2018;1225;40;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);1;5;0;0;5;0;0;230;265
38;Vendedor;27;FEMININO;0;20/05/2019;793;26;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);2;6;0;2;4;1;0;230;265
39;Site;28;MASCULINO;1;05/03/2021;138;4;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);3;5;0;3;2;1;0;230;265
40;Vendedor;29;FEMININO;2;21/05/2018;1157;38;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);1;3;0;1;2;0;0;230;265
41;Vendedor;30;MASCULINO;1;26/03/2020;482;16;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);2;3;0;0;3;0;0;230;265
42;Vendedor;31;FEMININO;2;05/02/2019;897;29;48 Meses;350;403;PLANO MEDIO A (60 CANAIS HD);3;5;0;2;3;0;0;350;403
43;Vendedor;32;MASCULINO;1;29/03/2018;1210;40;48 Meses;290;334;PLANO BASICO PLUS (50 CANAIS HD);1;5;0;3;2;1;0;290;334
44;Site;33;FEMININO;2;10/06/2020;406;13;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);2;5;0;4;1;0;0;230;265
45;Vendedor;34;MASCULINO;1;22/01/2018;1276;42;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);3;3;0;1;2;1;0;230;265
46;Site;35;FEMININO;2;08/02/2021;163;5;48 Meses;350;403;PLANO MEDIO A (60 CANAIS HD);1;5;0;1;4;1;0;350;403
47;Vendedor;36;MASCULINO;1;20/04/2018;1188;39;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);2;5;0;3;2;0;0;230;265
48;Site;37;FEMININO;2;04/06/2021;47;1;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);3;1;4;0;1;1;1058;230;265
49;Site;38;MASCULINO;1;19/10/2020;275;9;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);1;3;0;1;2;1;0;230;265
50;Site;39;FEMININO;2;19/10/2020;275;9;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);2;6;0;3;3;1;0;230;265
51;Vendedor;40;MASCULINO;1;16/12/2019;583;19;48 Meses;350;403;PLANO MEDIO A (60 CANAIS HD);3;6;0;2;4;1;0;350;403
52;Vendedor;41;FEMININO;2;19/11/2018;975;32;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);1;3;0;2;1;0;0;230;265
53;Vendedor;42;MASCULINO;1;19/03/2018;1220;40;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);2;6;0;3;3;1;0;230;265
54;Vendedor;43;FEMININO;2;19/03/2018;1220;40;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);3;5;0;3;2;1;0;230;265
55;Vendedor;44;MASCULINO;1;17/09/2019;673;22;48 Meses;290;334;PLANO BASICO PLUS (50 CANAIS HD);1;3;0;2;1;0;0;290;334
56;Vendedor;45;FEMININO;2;30/08/2018;1056;35;48 Meses;290;334;PLANO BASICO PLUS (50 CANAIS HD);2;2;0;1;1;0;0;290;334
57;Vendedor;46;MASCULINO;1;08/03/2018;1231;40;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);3;4;0;0;4;0;0;230;265
58;Vendedor;47;FEMININO;2;19/09/2018;1036;34;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);1;6;0;1;5;1;0;230;265
59;Site;48;MASCULINO;1;08/06/2021;43;1;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);2;1;4;0;1;0;1058;230;265
60;Vendedor;49;FEMININO;2;19/03/2018;1220;40;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);3;6;0;5;1;0;0;230;265
61;Vendedor;50;MASCULINO;1;22/05/2019;791;26;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);1;5;0;0;5;1;0;230;265
62;Vendedor;51;FEMININO;2;14/09/2018;1041;34;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);2;5;0;2;3;1;0;230;265
63;Vendedor;52;MASCULINO;1;10/07/2018;1107;36;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);3;2;0;0;2;0;0;230;265
64;Vendedor;53;FEMININO;2;09/01/2020;559;18;48 Meses;290;334;PLANO BASICO PLUS (50 CANAIS HD);1;3;0;0;3;0;0;290;334
65;Site;54;MASCULINO;1;27/02/2021;144;5;48 Meses;290;334;PLANO BASICO PLUS (50 CANAIS HD);2;5;0;1;4;0;0;290;334
66;Site;55;FEMININO;2;26/02/2021;145;5;48 Meses;290;334;PLANO BASICO PLUS (50 CANAIS HD);3;5;0;1;4;0;0;290;334
